"PassengerId","Survived.0","Survived.1"
892,1,0
893,1,0
894,0,1
895,0,1
896,0,1
897,0.933333333333333,0.0666666666666667
898,1,0
899,1,0
900,0,1
901,1,0
902,1,0
903,1,0
904,0,1
905,1,0
906,0,1
907,0,1
908,1,0
909,0.846153846153846,0.153846153846154
910,0,1
911,1,0
912,0,1
913,0,1
914,0,1
915,1,0
916,0,1
917,1,0
918,0,1
919,1,0
920,0,1
921,1,0
922,1,0
923,1,0
924,0,1
925,1,0
926,0,1
927,0,1
928,1,0
929,1,0
930,1,0
931,0.285714285714286,0.714285714285714
932,0,1
933,0.333333333333333,0.666666666666667
934,1,0
935,0,1
936,0,1
937,1,0
938,0,1
939,0.923076923076923,0.0769230769230769
940,0,1
941,1,0
942,1,0
943,1,0
944,0,1
945,0,1
946,1,0
947,1,0
948,1,0
949,1,0
950,1,0
951,0,1
952,1,0
953,1,0
954,1,0
955,0,1
956,1,0
957,0,1
958,0,1
959,1,0
960,1,0
961,0,1
962,0,1
963,1,0
964,1,0
965,1,0
966,0,1
967,1,0
968,1,0
969,0,1
970,1,0
971,0,1
972,0,1
973,1,0
974,1,0
975,1,0
976,1,0
977,1,0
978,0,1
979,0,1
980,0.2,0.8
981,0,1
982,0,1
983,0.857142857142857,0.142857142857143
984,1,0
985,1,0
986,1,0
987,0.8,0.2
988,0,1
989,0,1
990,1,0
991,1,0
992,0,1
993,1,0
994,0.923076923076923,0.0769230769230769
995,0.8,0.2
996,0,1
997,1,0
998,1,0
999,0.923076923076923,0.0769230769230769
1000,1,0
1001,0.933333333333333,0.0666666666666667
1002,1,0
1003,0,1
1004,0,1
1005,0,1
1006,0,1
1007,1,0
1008,0.846153846153846,0.153846153846154
1009,0,1
1010,1,0
1011,0,1
1012,0,1
1013,0.923076923076923,0.0769230769230769
1014,0,1
1015,1,0
1016,0.923076923076923,0.0769230769230769
1017,0,1
1018,1,0
1019,0,1
1020,0.5,0.5
1021,1,0
1022,0,1
1023,1,0
1024,1,0
1025,1,0
1026,1,0
1027,0.8,0.2
1028,1,0
1029,1,0
1030,1,0
1031,1,0
1032,1,0
1033,0,1
1034,0,1
1035,1,0
1036,0,1
1037,1,0
1038,1,0
1039,1,0
1040,0.333333333333333,0.666666666666667
1041,1,0
1042,0,1
1043,1,0
1044,1,0
1045,1,0
1046,1,0
1047,1,0
1048,0,1
1049,1,0
1050,0,1
1051,1,0
1052,0.2,0.8
1053,0,1
1054,0,1
1055,1,0
1056,0.5,0.5
1057,0,1
1058,1,0
1059,1,0
1060,0,1
1061,1,0
1062,1,0
1063,1,0
1064,1,0
1065,0.846153846153846,0.153846153846154
1066,1,0
1067,0,1
1068,0,1
1069,0,1
1070,0,1
1071,0,1
1072,1,0
1073,0,1
1074,0,1
1075,0.923076923076923,0.0769230769230769
1076,0,1
1077,1,0
1078,0,1
1079,0.4,0.6
1080,1,0
1081,1,0
1082,1,0
1083,1,0
1084,0,1
1085,0,1
1086,0,1
1087,1,0
1088,0,1
1089,1,0
1090,1,0
1091,1,0
1092,1,0
1093,0,1
1094,1,0
1095,0,1
1096,1,0
1097,1,0
1098,1,0
1099,1,0
1100,0,1
1101,1,0
1102,1,0
1103,1,0
1104,1,0
1105,1,0
1106,1,0
1107,1,0
1108,0,1
1109,1,0
1110,0,1
1111,1,0
1112,0,1
1113,1,0
1114,0,1
1115,0,1
1116,0,1
1117,0.25,0.75
1118,1,0
1119,0.2,0.8
1120,1,0
1121,1,0
1122,1,0
1123,0,1
1124,1,0
1125,1,0
1126,0,1
1127,1,0
1128,0,1
1129,0,1
1130,0,1
1131,0,1
1132,0,1
1133,0,1
1134,0,1
1135,1,0
1136,1,0
1137,1,0
1138,0,1
1139,1,0
1140,0,1
1141,1,0
1142,0,1
1143,1,0
1144,1,0
1145,1,0
1146,1,0
1147,1,0
1148,0.923076923076923,0.0769230769230769
1149,1,0
1150,0.333333333333333,0.666666666666667
1151,1,0
1152,1,0
1153,1,0
1154,0,1
1155,0,1
1156,1,0
1157,1,0
1158,1,0
1159,1,0
1160,1,0
1161,0.933333333333333,0.0666666666666667
1162,1,0
1163,0.923076923076923,0.0769230769230769
1164,0,1
1165,0,1
1166,0.846153846153846,0.153846153846154
1167,0,1
1168,1,0
1169,1,0
1170,1,0
1171,1,0
1172,1,0
1173,0,1
1174,0.2,0.8
1175,1,0
1176,1,0
1177,1,0
1178,1,0
1179,1,0
1180,0.846153846153846,0.153846153846154
1181,1,0
1182,1,0
1183,1,0
1184,0.846153846153846,0.153846153846154
1185,1,0
1186,1,0
1187,1,0
1188,0,1
1189,1,0
1190,1,0
1191,0.857142857142857,0.142857142857143
1192,0,1
1193,1,0
1194,1,0
1195,1,0
1196,0.2,0.8
1197,0,1
1198,1,0
1199,0,1
1200,1,0
1201,1,0
1202,0.933333333333333,0.0666666666666667
1203,0.846153846153846,0.153846153846154
1204,1,0
1205,1,0
1206,0,1
1207,0,1
1208,0,1
1209,0.933333333333333,0.0666666666666667
1210,0,1
1211,1,0
1212,0.8,0.2
1213,1,0
1214,1,0
1215,0,1
1216,0,1
1217,1,0
1218,0,1
1219,1,0
1220,1,0
1221,1,0
1222,0,1
1223,0,1
1224,0.846153846153846,0.153846153846154
1225,1,0
1226,1,0
1227,1,0
1228,0.666666666666667,0.333333333333333
1229,1,0
1230,1,0
1231,0.846153846153846,0.153846153846154
1232,0.933333333333333,0.0666666666666667
1233,1,0
1234,1,0
1235,0,1
1236,1,0
1237,0.166666666666667,0.833333333333333
1238,1,0
1239,1,0
1240,1,0
1241,0,1
1242,0,1
1243,1,0
1244,1,0
1245,1,0
1246,1,0
1247,1,0
1248,0,1
1249,1,0
1250,0.923076923076923,0.0769230769230769
1251,0,1
1252,1,0
1253,0,1
1254,0,1
1255,0,1
1256,0,1
1257,1,0
1258,1,0
1259,0,1
1260,0,1
1261,0,1
1262,1,0
1263,0,1
1264,1,0
1265,0.5,0.5
1266,0,1
1267,0,1
1268,1,0
1269,1,0
1270,1,0
1271,1,0
1272,0.923076923076923,0.0769230769230769
1273,1,0
1274,0,1
1275,0,1
1276,0.714285714285714,0.285714285714286
1277,0,1
1278,0.8,0.2
1279,1,0
1280,1,0
1281,1,0
